日平均気温,降雪深
5.4,44
12.5,0
17,0
21.1,0
22.6,0
20.5,0
10.4,0
3.1,87
-6,169
-9.3,76
-7.2,86
-2.1,134
4.1,24
10.6,0
18.1,0
22.8,0
21.9,0
16.5,0
10.2,0
3.3,66
-2.6,137
-7.9,193
-6.9,55
-2.2,66
4.6,36
13.1,0
19.2,0
21.9,0
21.3,0
15.5,0
8.3,0
3,35
-4,146
-5.1,80
-4.1,39
1.7,64
7.2,0
13.2,0
16,0
20.9,0
20.9,0
16.4,0
8.2,5
2,60
-2.5,149
-6.6,110
-5.3,133
-0.6,25
5.8,0
14.4,0
15.6,0
20.7,0
22.9,0
17.5,0
7.7,26
-1.1,203
-4.2,151
-7.9,72
-5.1,84
-1.2,43
6.1,5
13.8,0
15.3,0
22.6,0
20.3,0
15.4,0
8.3,7
2.1,93
-4.7,189
